c,c#,c++,cassandra,couchdb,d3,db2,excel,flume,git,hadoop,hbase,hive,java,javascript,job_title,keras,mahout,mapreduce,matlab,memcacheddb,mongodb,mysql,nosql,oozie,oracle,perl,pig,postgresql,python,r,rethinkdb,ruby,sas,scala,shark,spark,spss,sql,state,sybase,tableau,tensorflow,tsql,vba,zookeeper
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,NY,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Data Scientist - Predictive Modeling,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,NY,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,Data Scientist,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,NY,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Client-Facing Applied Data Scientist,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,NY,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,"Senior Data Scientist, Analytics Lab Team",0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,NY,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NY,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,NY,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Data Scientist, Life Experience Studies - Relocate to Richmond, VA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NY,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist (Pharmetrics),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NY,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Senior Data Scientist, Marketing Analytics",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,NY,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Junior Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NY,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Data Science Engagement Manager,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,NY,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Senior Manager, Data Science - Relocate to Raleigh, NC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NY,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Desktop Support Technician,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NY,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Research Associate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NY,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Associate Director of Analytics - Oncology Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NY,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Software Developer - Quant Developer C++ Equities,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NY,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Azure Data Engineer-New York City-$200K+,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,NY,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,Senior Data Scientist,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,WA,0,1,0,0,0,0
